Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    
CH_Pd@Ir_211_bridge2-s-1   1.45   2.786   2.742   1.01   3.615   7.0   2   -1.915   2.013   0.628   5.531   5.35   8.729   1.063   8.502   1.017   2.2   1.179   0.218   
CH_Cu_211_fcc-s   2.817   2.603   2.573   0.67   1.0   8.333   3   -2.355   1.063   1.935   15.964   4.719   7.726   1.236   9.692   1.202   1.9   0.1   0.247   
CH_AgAu_211_hcp-t-2   4.26   2.987   2.976   0.93   2.623   9.333   3   -3.715   1.246   2.233   14.706   4.712   8.126   1.639   9.768   1.187   2.133   0.06   0.233   
CH_Pt_211_fcc-s   1.153   2.838   2.807   1.04   3.9   8.333   3   -1.989   2.003   0.825   5.621   5.75   8.959   2.125   8.786   1.167   2.28   1.766   0.145   
CH_Ag_211_hcp-t   4.162   2.985   2.976   0.89   2.26   9.333   3   -4.047   1.126   3.305   24.126   4.427   7.576   1.304   9.841   1.167   1.93   0.04   0.275   
CH_PtRh_211_fcc-t-1   1.113   2.769   2.779   1.007   3.513   9.667   3   -1.69   2.284   1.52   9.002   5.302   7.959   1.47   8.177   1.208   2.28   2.017   0.114   
CH_Cu_110_longbridge   2.669   2.603   2.578   0.67   1.0   9.0   4   -2.4   1.04   1.378   11.637   4.699   7.726   1.236   9.798   1.237   1.9   0.1   0.264   
CH_Ru_211_bridge2-s   1.402   2.732   2.683   1.05   3.87   7.0   2   -1.158   1.939   0.39   3.925   4.889   7.361   1.046   7.152   0.809   2.2   1.745   0.269   
CH_Pt@Rh_211_fcc-t-2   1.146   2.734   2.722   0.99   3.32   9.667   3   -1.497   2.45   2.016   11.326   5.078   7.459   1.143   7.841   1.123   2.28   1.822   0.115   
CH_Ag@Cu_211_hcp-t-1   2.938   2.603   2.602   0.67   1.0   9.333   3   -2.429   1.061   1.457   12.641   4.719   7.726   1.236   9.728   1.272   1.9   0.104   0.245   
CH_PtRh_211_bridge2-s-2   1.391   2.786   2.739   1.015   3.61   7.0   2   -1.617   1.974   1.3   8.401   5.414   8.209   1.634   8.421   1.065   2.28   1.865   0.212   
CH_Rh_211_hcp-s   0.9   2.734   2.698   0.99   3.32   7.667   3   -1.359   2.184   1.889   11.239   5.078   7.459   1.143   7.937   1.025   2.28   1.994   0.206   
CH_Ag@Cu_211_fcc-s-2   2.802   2.603   2.576   0.67   1.0   8.333   3   -2.375   1.035   1.481   13.354   4.719   7.726   1.236   9.756   1.219   1.9   0.099   0.262   
CH_Au@Ni_211_hcp-s-2   1.209   2.502   2.468   0.71   1.16   7.667   3   -1.193   1.726   2.512   16.91   4.945   7.64   1.157   8.746   1.206   1.91   2.012   0.19   
CH_Pt@Rh_211_hcp-t-2   1.009   2.734   2.716   0.99   3.32   9.333   3   -1.487   2.402   1.938   10.986   5.078   7.459   1.143   7.852   1.116   2.28   1.854   0.127   
CH_Au_211_hcp-s   3.307   2.99   2.951   1.01   3.35   7.667   3   -3.155   1.359   1.444   9.9   5.28   9.226   2.309   9.734   1.227   2.54   0.085   0.251   
CH_Ni_111_hcp   1.268   2.502   2.496   0.71   1.16   9.0   3   -1.3   1.559   1.695   10.742   5.291   7.64   1.157   8.66   1.252   1.91   1.902   0.148   
CH_Ag_211_hcp-s   4.143   2.985   2.955   0.89   2.26   7.667   3   -4.016   0.996   3.021   23.078   4.427   7.576   1.304   9.853   1.084   1.93   0.034   0.287   
CH_PtRh_211_hcp-s-2   1.078   2.803   2.749   1.023   3.707   7.667   3   -1.814   2.034   1.334   8.158   5.526   8.459   1.798   8.523   1.083   2.28   1.752   0.184   
CH_Cu_211_four-fold-s   2.401   2.603   2.577   0.67   1.0   8.5   4   -2.372   1.044   1.711   14.207   4.719   7.726   1.236   9.714   1.208   1.9   0.097   0.244   
CH_Pt@Rh_211_hcp-s-2   0.893   2.734   2.698   0.99   3.32   7.667   3   -1.359   2.192   1.837   11.014   5.078   7.459   1.143   7.921   1.038   2.28   2.064   0.199   
CH_Pt_211_fcc-t   1.29   2.838   2.842   1.04   3.9   9.667   3   -2.076   2.073   0.864   5.498   5.75   8.959   2.125   8.792   1.219   2.28   1.579   0.106   
CH_Pt_211_four-fold-s   1.496   2.838   2.817   1.04   3.9   8.5   4   -1.995   1.985   0.829   5.644   5.75   8.959   2.125   8.806   1.165   2.28   1.597   0.135   
CH_AgPd_211_hcp-t-2   3.469   2.929   2.888   0.907   2.433   9.333   3   -2.807   1.216   1.944   11.51   4.688   7.83   1.057   9.701   0.94   2.02   0.24   0.155   
CH_Au@Ni_211_bridge2-s-2   1.885   2.502   2.465   0.71   1.16   7.0   2   -1.149   1.674   2.475   17.257   4.945   7.64   1.157   8.768   1.173   1.91   2.065   0.214   
CH_Au_110_threefold   3.391   2.99   2.957   1.01   3.35   8.333   3   -3.212   1.384   1.381   9.315   5.23   9.226   2.309   9.696   1.242   2.54   0.082   0.252   
