Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    
CH_Au@Ni_211_hcp-t-1   1.436   2.502   2.511   0.71   1.16   9.333   3   -1.235   1.826   2.533   16.381   4.945   7.64   1.157   8.689   1.283   1.91   1.907   0.137   
CH_Ru_211_fcc-t   1.038   2.732   2.715   1.05   3.87   9.667   3   -1.354   2.173   0.413   3.306   4.889   7.361   1.046   7.072   0.932   2.2   1.343   0.13   
CH_Rh_211_bridge2-s   1.419   2.734   2.694   0.99   3.32   7.0   2   -1.293   2.099   1.886   11.48   5.078   7.459   1.143   7.969   0.987   2.28   2.07   0.24   
CH_Rh_111_hcp   0.954   2.734   2.725   0.99   3.32   9.0   3   -1.516   2.023   1.077   6.347   5.347   7.459   1.143   7.991   1.094   2.28   1.765   0.158   
CH_Pd_111_hcp   1.306   2.819   2.82   0.94   2.78   9.0   3   -1.614   1.339   0.576   4.833   5.422   8.337   0.562   9.319   0.764   2.2   2.113   0.127   
CH_Ag_211_bridge2-s   4.719   2.985   2.946   0.89   2.26   7.0   2   -4.008   0.934   2.823   21.91   4.427   7.576   1.304   9.856   1.051   1.93   0.031   0.29   
CH_Pt@Rh_211_bridge2-s-2   1.402   2.734   2.696   0.99   3.32   7.0   2   -1.293   2.108   1.809   11.161   5.078   7.459   1.143   7.953   1.01   2.28   2.157   0.231   
CH_Cu_211_hcp-s   2.789   2.603   2.564   0.67   1.0   7.667   3   -2.319   1.009   1.693   14.788   4.719   7.726   1.236   9.708   1.166   1.9   0.095   0.256   
CH_Pd@Ir_211_fcc-t-1   1.066   2.753   2.741   1.08   4.45   9.667   3   -1.974   2.689   0.75   4.659   5.489   9.121   1.564   7.696   1.311   2.2   1.347   0.117   
CH_Cu_211_hcp-t   2.933   2.603   2.587   0.67   1.0   9.333   3   -2.415   1.122   2.107   16.356   4.719   7.726   1.236   9.687   1.255   1.9   0.105   0.234   
CH_Pd_110_longbridge   1.418   2.819   2.799   0.94   2.78   9.0   4   -1.669   1.382   0.629   4.918   5.008   8.337   0.562   9.361   0.772   2.2   2.4   0.091   
CH_Ag_111_hcp   4.341   2.985   2.98   0.89   2.26   9.0   3   -4.122   0.941   2.135   15.044   4.61   7.576   1.304   9.792   1.148   1.93   0.043   0.309   
CH_Au_211_four-fold-s   3.568   2.99   2.967   1.01   3.35   8.5   4   -3.223   1.395   1.453   9.6   5.28   9.226   2.309   9.718   1.257   2.54   0.088   0.237   
CH_Pt_100_hollow   0.966   2.838   2.828   1.04   3.9   8.0   4   -1.841   1.864   0.654   5.256   5.881   8.959   2.125   8.857   1.119   2.28   1.686   0.152   
CH_AgPd_211_fcc-t-2   2.519   2.874   2.884   0.923   2.607   9.667   3   -2.113   1.335   1.514   10.671   4.949   8.083   0.809   9.549   0.9   2.11   0.397   0.153   
CH_Pd@Ir_211_fcc-s-2   0.928   2.753   2.708   1.08   4.45   8.333   3   -1.881   2.611   0.765   4.967   5.489   9.121   1.564   7.715   1.264   2.2   1.446   0.175   
CH_AgAu_211_fcc-t-2   4.118   2.987   2.978   0.93   2.623   9.667   3   -3.756   1.257   2.213   14.375   4.712   8.126   1.639   9.764   1.201   2.133   0.06   0.228   
CH_Ir_111_hcp   0.818   2.753   2.743   1.08   4.45   9.0   3   -1.91   2.546   0.575   4.095   5.74   9.121   1.564   7.688   1.301   2.2   1.218   0.135   
