Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)  
CO_Ag_211_four-fold-s   2.417   2.985   2.965   0.89   2.26   8.5   4   -4.042   1.034   2.954   21.737   4.427   7.576   1.304   9.847   1.128   1.93   0.037   0.276   
CO_Ir_110_top   0.336   2.753   2.691   1.08   4.45   7.0   1   -1.804   2.47   0.688   4.986   5.208   9.121   1.564   7.741   1.183   2.2   1.807   0.245   
CO_AgAu_211_bridge2-s-1   2.366   2.988   2.941   0.95   2.805   7.0   2   -3.514   1.131   2.084   14.99   4.854   8.401   1.807   9.79   1.114   2.235   0.053   0.268   
CO_Au@Ni_211_fcc-s-2   0.907   2.502   2.483   0.71   1.16   8.333   3   -1.218   1.763   2.529   16.689   4.945   7.64   1.157   8.723   1.235   1.91   1.988   0.167   
CO_Pt_110_top   0.638   2.838   2.775   1.04   3.9   7.0   1   -1.882   1.911   0.735   5.687   5.549   8.959   2.125   8.894   1.081   2.28   2.378   0.241   
CO_Ni_211_bridge2-s   0.773   2.502   2.464   0.71   1.16   7.0   2   -1.158   1.645   2.703   18.313   4.945   7.64   1.157   8.86   1.141   1.91   1.873   0.218   
CO_Cu_211_fcc-t   2.27   2.603   2.593   0.67   1.0   9.667   3   -2.439   1.127   2.038   15.569   4.719   7.726   1.236   9.697   1.272   1.9   0.104   0.229   
CO_PtRh_211_bridge2-t-2   1.025   2.786   2.761   1.015   3.61   9.0   2   -1.809   2.22   1.459   8.591   5.414   8.209   1.634   8.33   1.166   2.28   2.02   0.134   
CO_Pd_211_bridge2-t   0.97   2.819   2.809   0.94   2.78   9.0   2   -1.635   1.372   0.587   4.77   5.21   8.337   0.562   9.288   0.773   2.2   2.33   0.125   
CO_Pd@Ir_211_fcc-t-2   1.425   2.753   2.738   1.08   4.45   9.667   3   -2.002   2.753   0.81   4.873   5.489   9.121   1.564   7.677   1.317   2.2   1.302   0.108   
CO_Pt@Rh_211_bridge3-s-2   0.91   2.734   2.713   0.99   3.32   8.5   2   -1.396   2.301   1.943   11.395   5.078   7.459   1.143   7.893   1.074   2.28   1.975   0.168   
CO_PtRh_211_hcp-s-1   0.911   2.769   2.744   1.007   3.513   7.667   3   -1.549   2.078   1.371   8.771   5.302   7.959   1.47   8.258   1.115   2.28   2.082   0.188   
