Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)  
CO_Ag_211_four-fold-s   2.417   2.985   2.965   0.89   2.26   8.5   4   -4.042   1.034   2.954   21.737   4.427   7.576   1.304   9.847   1.128   1.93   0.037   0.276   
CO_AgAu_211_top-t-2   2.375   2.99   2.965   1.01   3.35   9.0   1   -3.342   1.382   1.996   13.185   5.28   9.226   2.309   9.711   1.331   2.54   0.084   0.271   
CO_Ru_111_hcp   0.673   2.732   2.71   1.05   3.87   9.0   3   -1.319   2.084   0.338   3.173   5.266   7.361   1.046   7.071   0.888   2.2   2.11   0.216   
CO_IrRu_211_top-s-2   0.753   2.732   2.694   1.05   3.87   7.0   1   -1.203   2.137   0.362   4.595   4.889   7.361   1.046   7.066   0.87   2.2   2.026   0.254   
CO_Ni_211_bridge1-s   0.936   2.502   2.473   0.71   1.16   8.0   2   -1.224   1.729   2.657   17.424   4.945   7.64   1.157   8.833   1.21   1.91   1.88   0.182   
CO_Ru_211_fcc-t   0.853   2.732   2.715   1.05   3.87   9.667   3   -1.354   2.173   0.413   3.306   4.889   7.361   1.046   7.072   0.932   2.2   1.343   0.13   
CO_Au@Ni_211_hcp-t-2   0.926   2.502   2.495   0.71   1.16   9.333   3   -1.268   1.839   2.59   16.407   4.945   7.64   1.157   8.709   1.284   1.91   1.915   0.134   
CO_Rh_211_bridge2-t   0.941   2.734   2.707   0.99   3.32   9.0   2   -1.493   2.354   1.896   10.752   5.078   7.459   1.143   7.871   1.1   2.28   1.841   0.137   
CO_Pd@Ir_211_hcp-s-2   1.015   2.753   2.697   1.08   4.45   7.667   3   -1.806   2.55   0.765   5.155   5.489   9.121   1.564   7.751   1.234   2.2   1.542   0.215   
CO_Cu_211_top-s   1.783   2.603   2.556   0.67   1.0   7.0   1   -2.283   0.955   1.454   13.628   4.719   7.726   1.236   9.717   1.129   1.9   0.09   0.264   
CO_Pd_110_top   1.216   2.819   2.784   0.94   2.78   7.0   1   -1.499   1.253   0.507   5.241   5.008   8.337   0.562   9.42   0.678   2.2   2.368   0.103   
CO_Ir_211_bridge3-s   0.875   2.753   2.727   1.08   4.45   8.5   2   -1.848   2.58   0.707   4.787   5.489   9.121   1.564   7.754   1.273   2.2   1.437   0.178   
CO_Pt_100_bridge   0.693   2.838   2.828   1.04   3.9   8.0   2   -1.842   1.864   0.654   5.256   5.881   8.959   2.125   8.86   1.119   2.28   1.687   0.152   
CO_Pt@Rh_211_fcc-s-2   0.974   2.734   2.704   0.99   3.32   8.333   3   -1.418   2.273   1.848   10.83   5.078   7.459   1.143   7.892   1.074   2.28   1.975   0.168   
CO_Pd_211_bridge3-s   1.044   2.819   2.808   0.94   2.78   8.5   2   -1.625   1.337   0.687   5.511   5.21   8.337   0.562   9.294   0.75   2.2   2.128   0.13   
CO_Ir_211_bridge1-t   1.234   2.753   2.735   1.08   4.45   9.5   2   -2.007   2.705   0.734   4.539   5.489   9.121   1.564   7.695   1.32   2.2   1.299   0.11   
CO_IrRu_211_bridge1-t-4   1.137   2.743   2.718   1.065   4.16   9.5   2   -1.703   2.475   0.67   4.502   5.189   8.241   1.305   7.319   1.12   2.2   1.407   0.128   
CO_Rh_111_hcp   0.817   2.734   2.725   0.99   3.32   9.0   3   -1.516   2.023   1.077   6.347   5.347   7.459   1.143   7.991   1.094   2.28   1.765   0.158   
CO_Pt@Rh_211_top-t-1   0.894   2.734   2.714   0.99   3.32   9.0   1   -1.47   2.351   1.843   10.61   5.078   7.459   1.143   7.866   1.117   2.28   1.89   0.139   
CO_IrRu_211_hcp-s-1   0.849   2.746   2.694   1.07   4.257   7.667   3   -1.614   2.327   0.712   4.987   5.289   8.534   1.391   7.472   1.087   2.2   1.643   0.272   
CO_IrRu_211_hcp-t-1   1.008   2.739   2.716   1.06   4.063   9.333   3   -1.603   2.444   0.593   4.399   5.089   7.948   1.219   7.23   1.072   2.2   1.521   0.133   
CO_Ni_211_hcp-t   0.908   2.502   2.489   0.71   1.16   9.333   3   -1.28   1.837   2.625   16.521   4.945   7.64   1.157   8.791   1.292   1.91   1.847   0.136   
CO_Ir_211_bridge2-t   1.234   2.753   2.715   1.08   4.45   9.0   2   -2.027   2.683   0.694   4.35   5.489   9.121   1.564   7.682   1.31   2.2   1.263   0.122   
CO_IrRu_211_bridge3-s-2   0.946   2.743   2.712   1.065   4.16   8.5   2   -1.583   2.36   0.646   4.781   5.189   8.241   1.305   7.342   1.073   2.2   1.538   0.192   
CO_Ag@Cu_211_bridge2-t-1   2.121   2.603   2.603   0.67   1.0   9.0   2   -2.399   1.02   1.251   11.696   4.719   7.726   1.236   9.719   1.248   1.9   0.104   0.253   
CO_PtRh_211_bridge1-t-4   1.147   2.786   2.775   1.015   3.61   9.5   2   -1.845   2.243   1.482   8.575   5.414   8.209   1.634   8.311   1.178   2.28   1.931   0.115   
CO_IrRu_211_bridge1-t-3   1.092   2.753   2.717   1.08   4.45   9.5   2   -1.956   2.568   0.939   5.05   5.489   9.121   1.564   7.618   1.264   2.2   1.183   0.151   
CO_PtRh_211_bridge3-s-1   1.013   2.786   2.762   1.015   3.61   8.5   2   -1.758   2.129   1.414   8.547   5.414   8.209   1.634   8.359   1.12   2.28   1.853   0.151   
CO_AgPd_211_top-t-2   2.399   2.985   2.894   0.89   2.26   9.0   1   -3.508   1.097   2.385   12.429   4.427   7.576   1.304   9.85   0.977   1.93   0.049   0.168   
CO_Pt_211_fcc-t   1.324   2.838   2.842   1.04   3.9   9.667   3   -2.076   2.073   0.864   5.498   5.75   8.959   2.125   8.792   1.219   2.28   1.579   0.106   
CO_Pd@Ir_211_hcp-t-2   1.217   2.753   2.729   1.08   4.45   9.333   3   -1.978   2.712   0.788   4.826   5.489   9.121   1.564   7.678   1.305   2.2   1.326   0.121   
CO_Pt@Rh_211_bridge1-s-3   0.958   2.734   2.699   0.99   3.32   8.0   2   -1.392   2.234   1.851   10.94   5.078   7.459   1.143   7.905   1.052   2.28   2.018   0.183   
CO_Pd_211_hcp-s   0.832   2.819   2.796   0.94   2.78   7.667   3   -1.545   1.287   0.597   5.407   5.21   8.337   0.562   9.319   0.712   2.2   2.211   0.141   
CO_Ni_211_top-t   1.151   2.502   2.482   0.71   1.16   9.0   1   -1.27   1.809   2.613   16.595   4.945   7.64   1.157   8.801   1.275   1.91   1.917   0.145   
CO_PtRh_211_top-t-2   0.825   2.734   2.753   0.99   3.32   9.0   1   -1.411   2.286   1.514   9.511   5.078   7.459   1.143   7.933   1.214   2.28   2.515   0.14   
CO_Pt@Rh_211_fcc-t-1   1.104   2.734   2.727   0.99   3.32   9.667   3   -1.484   2.446   1.978   11.2   5.078   7.459   1.143   7.849   1.141   2.28   1.818   0.117   
CO_Rh_110_top   0.826   2.734   2.684   0.99   3.32   7.0   1   -1.362   2.148   1.94   11.854   4.831   7.459   1.143   7.945   0.99   2.28   2.167   0.179   
CO_Rh_211_top-t   0.881   2.734   2.707   0.99   3.32   9.0   1   -1.494   2.355   1.896   10.748   5.078   7.459   1.143   7.87   1.1   2.28   1.841   0.137   
CO_Ni_211_fcc-t   1.072   2.502   2.496   0.71   1.16   9.667   3   -1.29   1.865   2.639   16.464   4.945   7.64   1.157   8.784   1.308   1.91   1.78   0.128   
