id expansion current Ar H2 i-Al2O3 crystal pore Al2O3 pore_size
1 7.22 550 38 8 5 2.177 10.84 3.7 1254.89
21 7.94 650 38 8 25 2.548 4.08 1.48 515.97
6 8.86 550 25 12 10 2.169 5.2 1.88 923.65
4 9.91 650 38 8 5 2.486 14.28 2.38 2204.02
10 8.87 650 25 12 10 2.082 3.56 0.9 942.76
13 7.44 600 38 8 15 2.213 2.56 1.5 407.68
12 7.5 550 25 12 15 2.722 3.66 1.18 777.14
20 8.29 600 25 12 25 1.395 2.74 0.84 152.88
11 7.88 550 38 8 15 2.562 5.88 3.6 159.25
22 8.88 650 25 12 25 2.516 4.12 1.62 573.3
19 7.58 600 38 8 25 2.009 8.36 3.0 140.14
17 8.73 550 38 8 25 2.336 8.48 3.48 490.49
14 8.02 600 25 12 15 2.85 3.12 2.58 452.27
8 8.26 600 25 12 10 2.531 3.64 1.04 796.25
15 8.31 650 38 8 15 1.885 2.18 1.5 414.05
9 9.15 650 38 8 10 1.963 5.3 2.72 796.25
16 7.24 650 25 12 15 2.634 2.18 0.86 477.75
