Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    
C_Ag_211_four-fold-s   5.1   2.985   2.965   0.89   2.26   8.5   4   -4.042   1.034   2.954   21.737   4.427   7.576   1.304   9.847   1.128   1.93   0.037   0.276   
C_Ru_111_hcp   1.374   2.732   2.71   1.05   3.87   9.0   3   -1.319   2.084   0.338   3.173   5.266   7.361   1.046   7.071   0.888   2.2   2.11   0.216   
C_Ag_211_fcc-s   5.653   2.985   2.963   0.89   2.26   8.333   3   -4.024   1.059   3.219   24.252   4.427   7.576   1.304   9.85   1.116   1.93   0.037   0.284   
C_Ag@Cu_211_hcp-t-1   4.219   2.603   2.602   0.67   1.0   9.333   3   -2.429   1.061   1.457   12.641   4.719   7.726   1.236   9.728   1.272   1.9   0.104   0.245   
C_Ag_211_hcp-s   5.642   2.985   2.955   0.89   2.26   7.667   3   -4.016   0.996   3.021   23.078   4.427   7.576   1.304   9.853   1.084   1.93   0.034   0.287   
C_Pd@Ir_211_fcc-s-2   2.038   2.753   2.708   1.08   4.45   8.333   3   -1.881   2.611   0.765   4.967   5.489   9.121   1.564   7.715   1.264   2.2   1.446   0.175   
C_Au@Ni_211_hcp-t-2   2.251   2.502   2.495   0.71   1.16   9.333   3   -1.268   1.839   2.59   16.407   4.945   7.64   1.157   8.709   1.284   1.91   1.915   0.134   
C_Cu_110_longbridge   3.672   2.603   2.578   0.67   1.0   9.0   4   -2.4   1.04   1.378   11.637   4.699   7.726   1.236   9.798   1.237   1.9   0.1   0.264   
C_Au@Ni_211_fcc-s-2   2.24   2.502   2.483   0.71   1.16   8.333   3   -1.218   1.763   2.529   16.689   4.945   7.64   1.157   8.723   1.235   1.91   1.988   0.167   
C_AgAu_211_hcp-t-2   5.775   2.987   2.976   0.93   2.623   9.333   3   -3.715   1.246   2.233   14.706   4.712   8.126   1.639   9.768   1.187   2.133   0.06   0.233   
C_Au_211_fcc-s   4.725   2.99   2.967   1.01   3.35   8.333   3   -3.182   1.396   1.458   9.76   5.28   9.226   2.309   9.734   1.254   2.54   0.091   0.242   
C_AgAu_211_four-fold-s-1   5.136   2.988   2.961   0.95   2.805   8.5   4   -3.602   1.221   2.127   14.442   4.854   8.401   1.807   9.765   1.185   2.235   0.061   0.25   
C_Pt_211_bridge2-s   2.397   2.838   2.781   1.04   3.9   7.0   2   -1.895   1.891   0.786   5.804   5.75   8.959   2.125   8.812   1.101   2.28   1.72   0.176   
C_Rh_211_hcp-s   1.496   2.734   2.698   0.99   3.32   7.667   3   -1.359   2.184   1.889   11.239   5.078   7.459   1.143   7.937   1.025   2.28   1.994   0.206   
C_PtRh_211_fcc-s-1   2.149   2.803   2.758   1.023   3.707   8.333   3   -1.871   2.11   1.38   8.176   5.526   8.459   1.798   8.491   1.122   2.28   1.804   0.159   
C_Ag@Cu_211_four-fold-s-1   3.806   2.698   2.621   0.725   1.315   8.5   4   -2.855   1.096   2.1   15.619   4.646   7.688   1.253   9.765   1.167   1.908   0.085   0.25   
C_AgPd_211_hcp-s-1   4.629   2.929   2.875   0.907   2.433   7.667   3   -2.732   1.111   2.005   13.125   4.688   7.83   1.057   9.731   0.856   2.02   0.191   0.184   
C_Pt@Rh_211_hcp-t-1   1.895   2.734   2.721   0.99   3.32   9.333   3   -1.474   2.398   1.9   10.861   5.078   7.459   1.143   7.86   1.134   2.28   1.85   0.129   
C_Pd_211_hcp-t   2.188   2.819   2.814   0.94   2.78   9.333   3   -1.677   1.386   0.62   4.792   5.21   8.337   0.562   9.276   0.789   2.2   2.252   0.12   
C_Ir_211_bridge2-s   1.776   2.753   2.699   1.08   4.45   7.0   2   -1.706   2.442   0.66   4.932   5.489   9.121   1.564   7.8   1.214   2.2   1.538   0.258   
C_IrRu_211_hcp-t-1   1.896   2.739   2.716   1.06   4.063   9.333   3   -1.603   2.444   0.593   4.399   5.089   7.948   1.219   7.23   1.072   2.2   1.521   0.133   
C_Ru_211_fcc-s   2.275   2.732   2.692   1.05   3.87   8.333   3   -1.296   2.07   0.383   3.447   4.889   7.361   1.046   7.095   0.871   2.2   1.457   0.185   
C_Ru_211_hcp-t   1.639   2.732   2.706   1.05   3.87   9.333   3   -1.359   2.154   0.396   3.257   4.889   7.361   1.046   7.068   0.917   2.2   1.328   0.137   
C_Au_211_hcp-t   4.92   2.99   2.988   1.01   3.35   9.333   3   -3.246   1.444   1.473   9.465   5.28   9.226   2.309   9.724   1.292   2.54   0.098   0.227   
C_PtRh_211_fcc-s-2   1.865   2.769   2.75   1.007   3.513   8.333   3   -1.619   2.166   1.432   8.879   5.302   7.959   1.47   8.23   1.143   2.28   2.133   0.16   
C_Pt@Rh_211_four-fold-s-1   1.461   2.76   2.724   1.003   3.465   8.5   4   -1.579   2.227   1.748   10.036   5.246   7.834   1.388   8.104   1.081   2.28   1.707   0.164   
C_Ag@Cu_211_hcp-t-2   4.311   2.603   2.591   0.67   1.0   9.333   3   -2.427   1.088   1.721   13.933   4.719   7.726   1.236   9.734   1.257   1.9   0.105   0.24   
C_Cu_211_fcc-s   4.19   2.603   2.573   0.67   1.0   8.333   3   -2.355   1.063   1.935   15.964   4.719   7.726   1.236   9.692   1.202   1.9   0.1   0.247   
C_Ir_100_hollow   1.106   2.753   2.718   1.08   4.45   8.0   4   -1.797   2.5   0.502   4.197   5.756   9.121   1.564   7.7   1.235   2.2   1.196   0.194   
