Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    
C_Ag_211_four-fold-s   5.1   2.985   2.965   0.89   2.26   8.5   4   -4.042   1.034   2.954   21.737   4.427   7.576   1.304   9.847   1.128   1.93   0.037   0.276   
C_Pd@Ir_211_fcc-s-1   2.308   2.775   2.747   1.033   3.893   8.333   3   -1.997   2.273   0.653   5.014   5.396   8.86   1.23   8.196   1.139   2.2   1.148   0.152   
C_Rh_211_fcc-t   2.009   2.734   2.725   0.99   3.32   9.667   3   -1.496   2.419   1.95   10.919   5.078   7.459   1.143   7.858   1.13   2.28   1.796   0.116   
C_IrRu_211_bridge2-s-1   2.043   2.743   2.689   1.065   4.16   7.0   2   -1.446   2.214   0.595   4.915   5.189   8.241   1.305   7.398   1.005   2.2   1.807   0.322   
C_Pd@Ir_211_fcc-t-2   2.182   2.753   2.738   1.08   4.45   9.667   3   -2.002   2.753   0.81   4.873   5.489   9.121   1.564   7.677   1.317   2.2   1.302   0.108   
C_Pd@Ir_211_hcp-s-1   1.827   2.775   2.736   1.033   3.893   7.667   3   -1.923   2.212   0.653   5.202   5.396   8.86   1.23   8.232   1.109   2.2   1.243   0.192   
C_AgPd_211_hcp-t-1   3.277   2.874   2.88   0.923   2.607   9.333   3   -2.108   1.318   1.526   10.879   4.949   8.083   0.809   9.551   0.885   2.11   0.394   0.16   
C_Rh_211_fcc-s   1.946   2.734   2.703   0.99   3.32   8.333   3   -1.426   2.27   1.892   10.993   5.078   7.459   1.143   7.906   1.063   2.28   1.918   0.171   
C_AgAu_211_hcp-s-1   4.868   2.988   2.949   0.97   2.987   7.667   3   -3.457   1.215   2.055   14.388   4.996   8.676   1.974   9.763   1.186   2.337   0.064   0.269   
C_Ag@Cu_211_fcc-s-2   4.069   2.603   2.576   0.67   1.0   8.333   3   -2.375   1.035   1.481   13.354   4.719   7.726   1.236   9.756   1.219   1.9   0.099   0.262   
C_IrRu_211_fcc-s-2   2.358   2.739   2.701   1.06   4.063   8.333   3   -1.531   2.352   0.573   4.588   5.089   7.948   1.219   7.234   1.027   2.2   1.702   0.184   
C_AgPd_211_hcp-s-2   3.282   2.874   2.866   0.923   2.607   7.667   3   -2.026   1.214   1.576   12.415   4.949   8.083   0.809   9.584   0.803   2.11   0.379   0.179   
C_Au_211_fcc-t   4.991   2.99   2.993   1.01   3.35   9.667   3   -3.283   1.455   1.473   9.308   5.28   9.226   2.309   9.715   1.303   2.54   0.098   0.22   
C_Pt_211_four-fold-s   1.969   2.838   2.817   1.04   3.9   8.5   4   -1.995   1.985   0.829   5.644   5.75   8.959   2.125   8.806   1.165   2.28   1.597   0.135   
C_IrRu_211_hcp-t-2   1.879   2.746   2.713   1.07   4.257   9.333   3   -1.785   2.501   0.762   4.712   5.289   8.534   1.391   7.419   1.163   2.2   1.377   0.143   
C_Ag_111_hcp   5.889   2.985   2.98   0.89   2.26   9.0   3   -4.122   0.941   2.135   15.044   4.61   7.576   1.304   9.792   1.148   1.93   0.043   0.309   
C_Ru_211_hcp-s   1.375   2.732   2.687   1.05   3.87   7.667   3   -1.227   2.004   0.387   3.686   4.889   7.361   1.046   7.123   0.84   2.2   1.601   0.227   
C_Ag@Cu_211_four-fold-s-2   3.378   2.603   2.575   0.67   1.0   8.5   4   -2.394   1.056   1.596   13.849   4.719   7.726   1.236   9.764   1.23   1.9   0.097   0.257   
C_Ir_211_fcc-t   2.189   2.753   2.741   1.08   4.45   9.667   3   -2.0   2.712   0.747   4.601   5.489   9.121   1.564   7.699   1.323   2.2   1.311   0.106   
C_Ru_211_four-fold-s   1.049   2.732   2.703   1.05   3.87   8.5   4   -1.253   2.065   0.411   3.64   4.889   7.361   1.046   7.114   0.878   2.2   1.552   0.196   
C_IrRu_211_fcc-s-1   2.367   2.746   2.698   1.07   4.257   8.333   3   -1.694   2.404   0.728   4.801   5.289   8.534   1.391   7.456   1.118   2.2   1.556   0.229   
C_Ir_211_hcp-s   1.46   2.753   2.704   1.08   4.45   7.667   3   -1.813   2.522   0.671   4.737   5.489   9.121   1.564   7.761   1.246   2.2   1.446   0.213   
C_Ag_100_hollow   4.967   2.985   2.977   0.89   2.26   8.0   4   -3.983   0.95   2.723   20.407   4.432   7.576   1.304   9.914   1.073   1.93   0.032   0.244   
C_Pd_211_hcp-s   2.056   2.819   2.796   0.94   2.78   7.667   3   -1.545   1.287   0.597   5.407   5.21   8.337   0.562   9.319   0.712   2.2   2.211   0.141   
C_Au_100_hollow   4.589   2.99   2.987   1.01   3.35   8.0   4   -3.129   1.287   1.276   9.086   5.271   9.226   2.309   9.707   1.212   2.54   0.08   0.227   
C_Ag_110_longbridge   5.34   2.985   2.966   0.89   2.26   9.0   4   -4.07   1.034   2.618   18.619   4.398   7.576   1.304   9.876   1.158   1.93   0.039   0.307   
C_Ni_211_fcc-s   2.21   2.502   2.476   0.71   1.16   8.333   3   -1.236   1.755   2.642   17.151   4.945   7.64   1.157   8.821   1.231   1.91   1.903   0.169   
C_PtRh_211_hcp-t-2   2.286   2.803   2.773   1.023   3.707   9.333   3   -1.966   2.213   1.456   8.274   5.526   8.459   1.798   8.449   1.158   2.28   1.796   0.119   
C_Ir_111_hcp   1.786   2.753   2.743   1.08   4.45   9.0   3   -1.91   2.546   0.575   4.095   5.74   9.121   1.564   7.688   1.301   2.2   1.218   0.135   
C_AgAu_211_hcp-t-1   4.936   2.988   2.969   0.97   2.987   9.333   3   -3.564   1.316   2.077   13.572   4.996   8.676   1.974   9.74   1.266   2.337   0.072   0.249   
C_PtRh_211_hcp-s-1   1.656   2.769   2.744   1.007   3.513   7.667   3   -1.549   2.078   1.371   8.771   5.302   7.959   1.47   8.258   1.115   2.28   2.082   0.188   
C_Ni_211_four-fold-s   1.157   2.502   2.484   0.71   1.16   8.5   4   -1.225   1.768   2.678   17.369   4.945   7.64   1.157   8.817   1.232   1.91   1.796   0.169   
C_Pt_100_hollow   1.436   2.838   2.828   1.04   3.9   8.0   4   -1.841   1.864   0.654   5.256   5.881   8.959   2.125   8.857   1.119   2.28   1.686   0.152   
C_Ru_100_hollow   0.575   2.732   2.703   1.05   3.87   8.0   4   -1.198   2.031   0.432   3.925   5.109   7.361   1.046   7.128   0.861   2.2   1.968   0.238   
C_AgAu_211_hcp-s-2   4.889   2.987   2.951   0.93   2.623   7.667   3   -3.638   1.138   2.156   15.106   4.712   8.126   1.639   9.796   1.107   2.133   0.051   0.253   
C_Ni_110_longbridge   1.629   2.502   2.477   0.71   1.16   9.0   4   -1.316   1.818   2.609   16.556   4.733   7.64   1.157   8.721   1.264   1.91   1.978   0.139   
C_Au@Ni_211_fcc-t-1   2.022   2.502   2.508   0.71   1.16   9.667   3   -1.261   1.864   2.577   16.318   4.945   7.64   1.157   8.691   1.303   1.91   1.856   0.126   
C_Pd@Ir_211_four-fold-s-1   1.673   2.77   2.746   1.045   4.032   8.5   4   -1.954   2.371   0.701   5.123   5.42   8.925   1.314   8.1   1.169   2.2   1.257   0.161   
C_Pd_100_hollow   1.223   2.819   2.816   0.94   2.78   8.0   4   -1.528   1.308   0.817   6.652   5.279   8.337   0.562   9.316   0.721   2.2   1.885   0.135   
C_PtRh_211_hcp-s-2   1.89   2.803   2.749   1.023   3.707   7.667   3   -1.814   2.034   1.334   8.158   5.526   8.459   1.798   8.523   1.083   2.28   1.752   0.184   
C_Ir_110_longbridge   1.582   2.753   2.717   1.08   4.45   9.0   4   -2.018   2.735   0.861   5.235   5.208   9.121   1.564   7.7   1.277   2.2   1.55   0.167   
C_AgPd_211_four-fold-s-2   3.462   2.902   2.88   0.915   2.52   8.5   4   -2.409   1.21   1.769   12.165   4.819   7.957   0.933   9.645   0.868   2.065   0.275   0.173   
C_Cu_211_hcp-t   4.29   2.603   2.587   0.67   1.0   9.333   3   -2.415   1.122   2.107   16.356   4.719   7.726   1.236   9.687   1.255   1.9   0.105   0.234   
C_IrRu_211_four-fold-s-1   1.345   2.743   2.712   1.065   4.16   8.5   4   -1.568   2.356   0.636   4.707   5.189   8.241   1.305   7.367   1.073   2.2   1.537   0.219   
C_Pt_211_fcc-t   2.375   2.838   2.842   1.04   3.9   9.667   3   -2.076   2.073   0.864   5.498   5.75   8.959   2.125   8.792   1.219   2.28   1.579   0.106   
C_Au@Ni_211_hcp-s-2   2.041   2.502   2.468   0.71   1.16   7.667   3   -1.193   1.726   2.512   16.91   4.945   7.64   1.157   8.746   1.206   1.91   2.012   0.19   
C_Pd@Ir_211_hcp-t-2   2.028   2.753   2.729   1.08   4.45   9.333   3   -1.978   2.712   0.788   4.826   5.489   9.121   1.564   7.678   1.305   2.2   1.326   0.121   
C_Rh_211_hcp-t   1.859   2.734   2.716   0.99   3.32   9.333   3   -1.494   2.387   1.923   10.835   5.078   7.459   1.143   7.865   1.115   2.28   1.819   0.127   
C_Pt@Rh_211_fcc-s-2   1.96   2.734   2.704   0.99   3.32   8.333   3   -1.418   2.273   1.848   10.83   5.078   7.459   1.143   7.892   1.074   2.28   1.975   0.168   
C_Rh_110_longbridge   1.413   2.734   2.703   0.99   3.32   9.0   4   -1.524   2.374   1.937   11.072   4.831   7.459   1.143   7.884   1.09   2.28   1.979   0.13   
C_IrRu_211_hcp-s-2   1.521   2.739   2.695   1.06   4.063   7.667   3   -1.445   2.265   0.533   4.622   5.089   7.948   1.219   7.272   0.991   2.2   1.793   0.256   
C_Pt@Rh_211_hcp-s-1   1.776   2.769   2.714   1.007   3.513   7.667   3   -1.601   2.09   1.581   9.254   5.302   7.959   1.47   8.201   1.045   2.28   1.719   0.194   
C_Pt@Rh_211_fcc-t-1   2.078   2.734   2.727   0.99   3.32   9.667   3   -1.484   2.446   1.978   11.2   5.078   7.459   1.143   7.849   1.141   2.28   1.818   0.117   
C_AgAu_211_four-fold-s-2   4.72   2.988   2.961   0.95   2.805   8.5   4   -3.602   1.221   2.127   14.442   4.854   8.401   1.807   9.765   1.185   2.235   0.061   0.25   
C_Pd_211_four-fold-s   1.393   2.819   2.808   0.94   2.78   8.5   4   -1.628   1.333   0.665   5.397   5.21   8.337   0.562   9.293   0.751   2.2   2.125   0.13   
C_Ru_110_longbridge   1.37   2.732   2.694   1.05   3.87   9.0   4   -1.396   2.129   0.396   3.216   4.764   7.361   1.046   7.089   0.903   2.2   1.478   0.153   
C_Ni_100_hollow   0.881   2.502   2.486   0.71   1.16   8.0   4   -1.173   1.742   2.725   18.035   5.115   7.64   1.157   8.691   1.198   1.91   1.899   0.173   
C_Pt@Rh_211_hcp-s-2   1.497   2.734   2.698   0.99   3.32   7.667   3   -1.359   2.192   1.837   11.014   5.078   7.459   1.143   7.921   1.038   2.28   2.064   0.199   
C_Pt_111_hcp   2.129   2.838   2.838   1.04   3.9   9.0   3   -1.944   1.98   0.835   5.619   5.922   8.959   2.125   8.832   1.181   2.28   1.733   0.107   
C_Pt_211_fcc-s   1.995   2.838   2.807   1.04   3.9   8.333   3   -1.989   2.003   0.825   5.621   5.75   8.959   2.125   8.786   1.167   2.28   1.766   0.145   
C_Ag@Cu_211_hcp-s-2   4.181   2.603   2.559   0.67   1.0   7.667   3   -2.348   1.021   1.475   13.783   4.719   7.726   1.236   9.782   1.194   1.9   0.094   0.274   
C_Pd@Ir_211_four-fold-s-2   1.786   2.753   2.723   1.08   4.45   8.5   4   -1.863   2.581   0.738   4.898   5.489   9.121   1.564   7.743   1.265   2.2   1.479   0.182   
