Index    Fatigue    NT    THT    CT    DT    QmT    TT    THt    Ct    Dt    Tt    THQCr    TCr    C    Si    Mn    P    S    Ni    Cr    Cu    Mo
375    740    845    845    30    30    30    500    30    0    0    60    8    24    0.6    1.96    0.85    0.019    0.004    0.05    0.15    0.12    0
186    638    870    855    30    30    30    550    30    0    0    60    8    24    0.39    0.28    0.77    0.021    0.018    0.09    1.08    0.15    0.19
354    600    870    845    30    30    30    580    30    0    0    60    8    24    0.47    0.28    0.72    0.011    0.007    1.76    0.79    0.06    0
154    524    870    855    30    30    30    600    30    0    0    60    8    24    0.36    0.27    0.79    0.012    0.007    0.03    1.03    0.04    0.17
165    524    870    855    30    30    30    600    30    0    0    60    8    24    0.34    0.29    0.71    0.019    0.013    0.11    1.05    0.12    0.16
89    492    825    825    30    30    30    550    30    0    0    60    24    24    0.56    0.25    0.68    0.009    0.023    0.03    0.1    0.03    0
224    516    870    855    30    30    30    650    30    0    0    60    8    24    0.44    0.26    0.75    0.017    0.012    0.02    1.05    0.02    0.21
80    382    845    845    30    30    30    650    30    0    0    60    24    24    0.42    0.26    0.7    0.024    0.01    0.01    0.1    0.01    0
199    590    870    855    30    30    30    600    30    0    0    60    8    24    0.41    0.24    0.8    0.015    0.024    0.03    1.02    0.1    0.18
329    524    870    845    30    30    30    630    30    0    0    60    8    24    0.4    0.25    0.7    0.021    0.02    1.63    0.71    0.08    0.17
373    698    845    845    30    30    30    430    30    0    0    60    8    24    0.59    1.99    0.92    0.027    0.01    0.01    0.15    0.01    0
434    957    930    30    930    895.812    140    160    0    340.2    70.2    120    0    0.5    0.18    0.25    0.79    0.016    0.015    0.07    1.08    0.08    0.15
258    449    870    845    30    30    30    600    30    0    0    60    8    24    0.42    0.23    1.5    0.01    0.009    0.04    0.15    0.05    0
161    535    870    855    30    30    30    600    30    0    0    60    8    24    0.33    0.27    0.69    0.015    0.008    0.04    0.99    0.05    0.18
319    588    870    845    30    30    30    580    30    0    0    60    8    24    0.38    0.26    0.71    0.016    0.008    1.66    0.72    0.12    0.16
107    411    825    825    30    30    30    650    30    0    0    60    24    24    0.54    0.2    0.75    0.013    0.019    0.01    0.01    0.01    0
320    550    870    845    30    30    30    580    30    0    0    60    8    24    0.41    0.29    0.74    0.013    0.01    1.84    0.74    0.12    0.22
274    438    870    845    30    30    30    650    30    0    0    60    8    24    0.42    0.21    1.51    0.026    0.019    0.02    0.12    0.01    0
21    395    865    865    30    30    30    550    30    0    0    60    24    24    0.35    0.25    0.82    0.016    0.023    0.03    0.01    0.01    0
228    451    870    845    30    30    30    550    30    0    0    60    8    24    0.4    0.22    1.56    0.011    0.019    0.06    0.09    0.05    0
217    504    870    855    30    30    30    650    30    0    0    60    8    24    0.37    0.24    0.69    0.018    0.016    0.02    1    0.02    0.19
369    477    870    845    30    30    30    680    30    0    0    60    8    24    0.45    0.16    0.79    0.009    0.016    1.65    0.73    0.05    0
290    522    900    845    30    30    30    550    30    0    0    60    8    24    0.3    0.27    0.53    0.018    0.008    2.7    0.81    0.07    0
336    550    870    845    30    30    30    630    30    0    0    60    8    24    0.38    0.29    0.7    0.012    0.008    1.75    0.74    0.07    0.19
144    562    870    855    30    30    30    550    30    0    0    60    8    24    0.37    0.23    0.82    0.012    0.017    0.04    1.09    0.05    0.16
207    563    870    855    30    30    30    600    30    0    0    60    8    24    0.4    0.22    0.7    0.01    0.004    0.04    0.94    0.12    0.17
38    325    865    865    30    30    30    650    30    0    0    60    24    24    0.34    0.26    0.74    0.012    0.015    0.01    0.02    0.01    0
355    615    870    845    30    30    30    580    30    0    0    60    8    24    0.47    0.19    0.76    0.013    0.013    1.67    0.71    0.06    0
103    419    825    825    30    30    30    650    30    0    0    60    24    24    0.55    0.23    0.76    0.018    0.012    0.01    0.09    0.01    0
167    491    870    855    30    30    30    650    30    0    0    60    8    24    0.35    0.3    0.7    0.019    0.012    0.02    1.03    0.01    0.15
84    500    825    825    30    30    30    550    30    0    0    60    24    24    0.56    0.26    0.37    0.019    0.026    0.04    0.13    0.11    0
273    411    870    845    30    30    30    650    30    0    0    60    8    24    0.42    0.24    1.58    0.014    0.022    0.06    0.17    0.07    0
141    526    870    855    30    30    30    550    30    0    0    60    8    24    0.36    0.23    0.81    0.014    0.022    0.05    0.99    0.08    0.16
25    385    865    865    30    30    30    600    30    0    0    60    24    24    0.35    0.3    0.74    0.017    0.024    0.01    0.1    0.01    0
42    385    865    865    30    30    30    650    30    0    0    60    24    24    0.33    0.26    0.76    0.023    0.013    0.01    0.1    0.03    0
415    1086    930    30    930    895.517    60    160    0    100.2    34.8    120    0    0.5    0.23    0.2    0.8    0.013    0.018    0.04    1.14    0.07    0.02
135    490    870    855    30    30    30    650    30    0    0    60    8    24    0.42    0.32    0.81    0.014    0.007    0.03    1.09    0.04    0
291    570    900    845    30    30    30    550    30    0    0    60    8    24    0.32    0.3    0.52    0.013    0.009    2.67    0.77    0.06    0
392    1002    930    30    930    850    60    160    0    139.8    15    120    0    0.5    0.17    0.28    0.55    0.002    0.016    1.64    0.45    0.05    0.16
157    550    870    855    30    30    30    600    30    0    0    60    8    24    0.36    0.35    0.74    0.016    0.02    0.05    0.97    0.12    0.15
6    245    885    30    30    30    30    30    0    0    0    0    0    0    0.26    0.22    0.45    0.026    0.026    0.02    0.05    0.03    0
211    496    870    855    30    30    30    650    30    0    0    60    8    24    0.39    0.27    0.86    0.019    0.008    0.1    0.96    0.12    0.17
40    362    865    865    30    30    30    650    30    0    0    60    24    24    0.33    0.21    0.75    0.031    0.019    0.01    0.03    0.02    0
145    563    870    855    30    30    30    550    30    0    0    60    8    24    0.35    0.25    0.8    0.02    0.017    0.08    0.99    0.18    0.19
364    543    870    845    30    30    30    630    30    0    0    60    8    24    0.48    0.2    0.7    0.01    0.016    1.66    0.73    0.11    0
168    463    870    855    30    30    30    650    30    0    0    60    8    24    0.36    0.27    0.79    0.012    0.007    0.03    1.03    0.04    0.17
420    876    930    30    930    895.812    140    160    0    529.8    70.2    120    0    0.5    0.21    0.3    0.76    0.021    0.006    0.08    1.09    0.14    0.03
46    365    865    865    30    30    30    650    30    0    0    60    24    24    0.37    0.24    0.72    0.015    0.02    0.02    0.02    0.02    0
188    582    870    855    30    30    30    550    30    0    0    60    8    24    0.42    0.29    0.77    0.015    0.017    0.12    1.1    0.09    0.15
13    419    865    865    30    30    30    550    30    0    0    60    24    24    0.35    0.3    0.74    0.017    0.024    0.01    0.1    0.01    0
178    523    870    855    30    30    30    650    30    0    0    60    8    24    0.38    0.27    0.8    0.015    0.012    0.07    1.07    0.12    0.16
259    502    870    845    30    30    30    600    30    0    0    60    8    24    0.43    0.34    1.38    0.017    0.01    0.08    0.26    0.1    0
77    388    845    845    30    30    30    650    30    0    0    60    24    24    0.43    0.22    0.83    0.017    0.016    0.01    0.12    0.01    0
18    454    865    865    30    30    30    550    30    0    0    60    24    24    0.33    0.26    0.76    0.023    0.013    0.01    0.1    0.03    0
227    510    870    845    30    30    30    550    30    0    0    60    8    24    0.4    0.25    1.34    0.017    0.015    0.02    0.13    0.02    0
173    469    870    855    30    30    30    650    30    0    0    60    8    24    0.35    0.25    0.8    0.02    0.017    0.08    0.99    0.18    0.19
288    576    900    845    30    30    30    550    30    0    0    60    8    24    0.28    0.27    0.53    0.019    0.009    2.67    0.87    0.05    0
61    437    845    845    30    30    30    600    30    0    0    60    24    24    0.45    0.24    0.71    0.01    0.009    0.12    0.06    0.13    0
137    483    870    855    30    30    30    650    30    0    0    60    8    24    0.4    0.32    0.79    0.013    0.011    0.05    1.09    0.04    0
404    986    930    30    930    882.381    60    160    0    130.2    25.2    120    0    0.5    0.18    0.26    0.76    0.009    0.014    0.56    0.62    0.12    0.17
244    363    870    845    30    30    30    650    30    0    0    60    8    24    0.38    0.21    1.59    0.017    0.015    0.03    0.2    0.05    0
184    635    870    855    30    30    30    550    30    0    0    60    8    24    0.41    0.24    0.8    0.015    0.024    0.03    1.02    0.1    0.18
156    490    870    855    30    30    30    600    30    0    0    60    8    24    0.34    0.25    0.72    0.019    0.011    0.12    1.01    0.1    0.17
272    404    870    845    30    30    30    650    30    0    0    60    8    24    0.42    0.21    1.6    0.014    0.015    0.03    0.12    0.07    0
289    549    900    845    30    30    30    550    30    0    0    60    8    24    0.34    0.26    0.65    0.01    0.009    2.63    0.84    0.05    0
372    781    845    845    30    30    30    430    30    0    0    60    8    24    0.6    1.96    0.85    0.019    0.004    0.05    0.15    0.12    0
142    535    870    855    30    30    30    550    30    0    0    60    8    24    0.34    0.25    0.72    0.019    0.011    0.12    1.01    0.1    0.17
