Index    Fatigue    NT    THT    CT    DT    QmT    TT    THt    Ct    Dt    Tt    THQCr    TCr    C    Si    Mn    P    S    Ni    Cr    Cu    Mo
105    402    825    825    30    30    30    650    30    0    0    60    24    24    0.52    0.29    0.83    0.016    0.025    0.04    0.04    0.02    0
278    383    870    845    30    30    30    650    30    0    0    60    8    24    0.41    0.22    1.48    0.01    0.007    0.03    0.08    0.06    0
229    425    870    845    30    30    30    550    30    0    0    60    8    24    0.41    0.24    1.51    0.02    0.008    0.04    0.22    0.08    0
218    505    870    855    30    30    30    650    30    0    0    60    8    24    0.42    0.29    0.77    0.015    0.017    0.12    1.1    0.09    0.15
202    551    870    855    30    30    30    600    30    0    0    60    8    24    0.37    0.24    0.69    0.018    0.016    0.02    1    0.02    0.19
36    344    865    865    30    30    30    650    30    0    0    60    24    24    0.35    0.21    0.77    0.021    0.022    0.01    0.01    0.02    0
305    503    900    845    30    30    30    650    30    0    0    60    8    24    0.35    0.26    0.54    0.019    0.003    2.78    0.89    0.05    0
233    406    870    845    30    30    30    600    30    0    0    60    8    24    0.38    0.27    1.52    0.012    0.007    0.03    0.13    0.07    0
97    464    825    825    30    30    30    600    30    0    0    60    24    24    0.57    0.23    0.74    0.018    0.017    0.01    0.12    0.02    0
394    1124    930    30    930    850    60    160    0    469.8    15    120    0    0.5    0.23    0.35    0.51    0.008    0.012    1.69    0.55    0.11    0.18
249    495    870    845    30    30    30    550    30    0    0    60    8    24    0.42    0.24    1.58    0.014    0.022    0.06    0.17    0.07    0
283    530    900    845    30    30    30    550    30    0    0    60    8    24    0.32    0.24    0.58    0.009    0.01    2.65    0.71    0.06    0
389    688    845    845    30    30    30    500    30    0    0    60    8    24    0.53    1.5    0.67    0.014    0.011    0.13    0.67    0.26    0.05
360    551    870    845    30    30    30    630    30    0    0    60    8    24    0.47    0.28    0.72    0.011    0.007    1.76    0.79    0.06    0
325    569    870    845    30    30    30    580    30    0    0    60    8    24    0.43    0.26    0.68    0.012    0.018    1.62    0.68    0.09    0.17
169    464    870    855    30    30    30    650    30    0    0    60    8    24    0.36    0.23    0.81    0.014    0.022    0.05    0.99    0.08    0.16
110    425    825    825    30    30    30    650    30    0    0    60    24    24    0.57    0.3    0.82    0.024    0.022    0.02    0.1    0.01    0
87    531    825    825    30    30    30    550    30    0    0    60    24    24    0.53    0.3    0.83    0.019    0.026    0.02    0.12    0.01    0
12    397    865    865    30    30    30    550    30    0    0    60    24    24    0.35    0.21    0.77    0.021    0.022    0.01    0.01    0.02    0
412    1009    930    30    930    895.517    60    200    0    450    34.8    120    0    0.5    0.23    0.29    0.85    0.011    0.011    0.44    0.6    0.07    0.16
323    619    870    845    30    30    30    580    30    0    0    60    8    24    0.42    0.3    0.78    0.016    0.004    1.9    0.86    0.04    0.24
304    483    900    845    30    30    30    650    30    0    0    60    8    24    0.32    0.29    0.54    0.018    0.004    2.64    0.75    0.05    0
53    502    845    845    30    30    30    550    30    0    0    60    24    24    0.48    0.25    0.75    0.024    0.022    0.02    0.1    0.01    0
357    596    870    845    30    30    30    580    30    0    0    60    8    24    0.45    0.16    0.79    0.009    0.016    1.65    0.73    0.05    0
215    480    870    855    30    30    30    650    30    0    0    60    8    24    0.41    0.25    0.74    0.013    0.019    0.05    0.99    0.08    0.16
