Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)  
OH_Ag_211_bridge2-s   0.332   2.985   2.946   0.89   2.26   7.0   2   -4.008   0.934   2.823   21.91   4.427   7.576   1.304   9.856   1.051   1.93   0.031   0.29   
OH_IrRu_211_bridge1-s-3   0.098   2.743   2.699   1.065   4.16   8.0   2   -1.576   2.345   0.654   4.863   5.189   8.241   1.305   7.342   1.06   2.2   1.671   0.213   
OH_Ru_211_bridge2-s   -0.833   2.732   2.683   1.05   3.87   7.0   2   -1.158   1.939   0.39   3.925   4.889   7.361   1.046   7.152   0.809   2.2   1.745   0.269   
OH_AgAu_211_bridge2-s-2   0.592   2.988   2.941   0.95   2.805   7.0   2   -3.514   1.131   2.084   14.99   4.854   8.401   1.807   9.79   1.114   2.235   0.053   0.268   
OH_Rh_211_bridge3-s   0.171   2.734   2.714   0.99   3.32   8.5   2   -1.395   2.275   1.931   11.244   5.078   7.459   1.143   7.907   1.066   2.28   1.921   0.173   
OH_Pt_100_bridge   0.274   2.838   2.828   1.04   3.9   8.0   2   -1.842   1.864   0.654   5.256   5.881   8.959   2.125   8.86   1.119   2.28   1.687   0.152   
OH_Cu_211_bridge2-s   -0.286   2.603   2.556   0.67   1.0   7.0   2   -2.282   0.955   1.452   13.621   4.719   7.726   1.236   9.722   1.129   1.9   0.09   0.264   
OH_AgPd_211_fcc-s-1   0.691   2.929   2.884   0.907   2.433   8.333   3   -2.785   1.159   2.089   12.993   4.688   7.83   1.057   9.711   0.887   2.02   0.233   0.173   
OH_IrRu_211_bridge1-t-2   0.397   2.743   2.722   1.065   4.16   9.5   2   -1.683   2.483   0.684   4.58   5.189   8.241   1.305   7.336   1.127   2.2   1.4   0.136   
OH_Pt_211_bridge2-t   0.875   2.838   2.82   1.04   3.9   9.0   2   -2.037   2.06   0.845   5.528   5.75   8.959   2.125   8.772   1.199   2.28   1.789   0.129   
OH_Ru_211_bridge2-t   -0.08   2.732   2.696   1.05   3.87   9.0   2   -1.365   2.135   0.378   3.207   4.889   7.361   1.046   7.066   0.903   2.2   1.312   0.143   
OH_Rh_211_bridge1-t   0.444   2.734   2.72   0.99   3.32   9.5   2   -1.495   2.403   1.936   10.879   5.078   7.459   1.143   7.86   1.123   2.28   1.807   0.121   
OH_IrRu_211_top-s-1   -0.319   2.753   2.685   1.08   4.45   7.0   1   -1.69   2.292   0.829   5.236   5.489   9.121   1.564   7.731   1.141   2.2   1.587   0.389   
OH_Pd_211_bridge2-s   0.209   2.819   2.79   0.94   2.78   7.0   2   -1.5   1.244   0.602   5.726   5.21   8.337   0.562   9.334   0.682   2.2   2.15   0.15   
OH_IrRu_211_bridge3-s-1   -0.059   2.743   2.712   1.065   4.16   8.5   2   -1.554   2.353   0.625   4.632   5.189   8.241   1.305   7.392   1.072   2.2   1.535   0.245   
OH_IrRu_211_bridge1-s-2   0.187   2.753   2.694   1.08   4.45   8.0   2   -1.819   2.422   0.888   5.183   5.489   9.121   1.564   7.674   1.196   2.2   1.452   0.281   
OH_AgPd_211_bridge1-t-1   0.723   2.819   2.873   0.94   2.78   9.5   2   -1.408   1.429   1.097   10.104   5.21   8.337   0.562   9.401   0.839   2.2   0.566   0.156   
OH_Pt@Rh_211_bridge1-t-1   0.496   2.734   2.725   0.99   3.32   9.5   2   -1.477   2.422   1.928   10.986   5.078   7.459   1.143   7.857   1.143   2.28   1.83   0.123   
OH_AgPd_211_bridge3-s-1   0.681   2.902   2.887   0.915   2.52   8.5   2   -2.441   1.215   1.939   13.08   4.819   7.957   0.933   9.634   0.862   2.065   0.278   0.18   
OH_Ir_211_bridge2-s   -0.496   2.753   2.699   1.08   4.45   7.0   2   -1.706   2.442   0.66   4.932   5.489   9.121   1.564   7.8   1.214   2.2   1.538   0.258   
OH_Cu_211_bridge1-s   0.17   2.603   2.569   0.67   1.0   8.0   2   -2.337   1.036   1.813   15.368   4.719   7.726   1.236   9.703   1.184   1.9   0.098   0.252   
OH_Cu_211_hcp-t   0.305   2.603   2.587   0.67   1.0   9.333   3   -2.415   1.122   2.107   16.356   4.719   7.726   1.236   9.687   1.255   1.9   0.105   0.234   
OH_Pt@Rh_211_top-s-2   0.205   2.734   2.695   0.99   3.32   7.0   1   -1.293   2.108   1.809   11.161   5.078   7.459   1.143   7.953   1.01   2.28   2.157   0.231   
OH_Ir_211_fcc-s   0.657   2.753   2.709   1.08   4.45   8.333   3   -1.919   2.605   0.689   4.572   5.489   9.121   1.564   7.721   1.278   2.2   1.354   0.167   
OH_Pt@Rh_211_bridge2-t-2   0.233   2.734   2.708   0.99   3.32   9.0   2   -1.481   2.356   1.868   10.664   5.078   7.459   1.143   7.862   1.105   2.28   1.884   0.137   
OH_IrRu_211_bridge1-s-4   -0.026   2.732   2.7   1.05   3.87   8.0   2   -1.322   2.252   0.386   4.316   4.889   7.361   1.046   7.043   0.916   2.2   1.895   0.19   
OH_Ni_211_bridge2-s   -0.646   2.502   2.464   0.71   1.16   7.0   2   -1.158   1.645   2.703   18.313   4.945   7.64   1.157   8.86   1.141   1.91   1.873   0.218   
OH_Pd_211_top-s   0.693   2.819   2.79   0.94   2.78   7.0   1   -1.501   1.244   0.602   5.728   5.21   8.337   0.562   9.334   0.683   2.2   2.147   0.15   
OH_Ni_211_fcc-s   -0.045   2.502   2.476   0.71   1.16   8.333   3   -1.236   1.755   2.642   17.151   4.945   7.64   1.157   8.821   1.231   1.91   1.903   0.169   
OH_Au@Ni_211_bridge2-s-2   -0.606   2.502   2.465   0.71   1.16   7.0   2   -1.149   1.674   2.475   17.257   4.945   7.64   1.157   8.768   1.173   1.91   2.065   0.214   
OH_Ir_211_bridge1-t   0.724   2.753   2.735   1.08   4.45   9.5   2   -2.007   2.705   0.734   4.539   5.489   9.121   1.564   7.695   1.32   2.2   1.299   0.11   
OH_Au@Ni_211_hcp-s-2   -0.249   2.502   2.468   0.71   1.16   7.667   3   -1.193   1.726   2.512   16.91   4.945   7.64   1.157   8.746   1.206   1.91   2.012   0.19   
OH_Rh_211_bridge2-t   0.249   2.734   2.707   0.99   3.32   9.0   2   -1.493   2.354   1.896   10.752   5.078   7.459   1.143   7.871   1.1   2.28   1.841   0.137   
OH_Pd@Ir_211_bridge2-t-2   0.478   2.753   2.717   1.08   4.45   9.0   2   -1.963   2.702   0.795   4.896   5.489   9.121   1.564   7.673   1.294   2.2   1.339   0.131   
OH_Au@Ni_211_top-t-1   0.447   2.502   2.511   0.71   1.16   9.0   1   -1.219   1.787   2.525   16.575   4.945   7.64   1.157   8.693   1.261   1.91   2.003   0.145   
OH_AgPd_211_bridge1-s-3   0.766   2.902   2.867   0.915   2.52   8.0   2   -2.369   1.179   1.616   11.562   4.819   7.957   0.933   9.66   0.851   2.065   0.268   0.177   
OH_Ag@Cu_211_bridge2-s-1   -0.014   2.794   2.757   0.78   1.63   8.0   2   -3.229   1.054   2.287   16.613   4.573   7.651   1.27   9.791   1.03   1.915   0.066   0.274   
OH_Pt@Rh_211_bridge1-s-3   0.204   2.734   2.699   0.99   3.32   8.0   2   -1.392   2.234   1.851   10.94   5.078   7.459   1.143   7.905   1.052   2.28   2.018   0.183   
