Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)  
OH_Ag_211_bridge2-s   0.332   2.985   2.946   0.89   2.26   7.0   2   -4.008   0.934   2.823   21.91   4.427   7.576   1.304   9.856   1.051   1.93   0.031   0.29   
OH_IrRu_211_bridge2-s-1   -0.707   2.743   2.689   1.065   4.16   7.0   2   -1.446   2.214   0.595   4.915   5.189   8.241   1.305   7.398   1.005   2.2   1.807   0.322   
OH_Rh_211_hcp-t   0.601   2.734   2.716   0.99   3.32   9.333   3   -1.494   2.387   1.923   10.835   5.078   7.459   1.143   7.865   1.115   2.28   1.819   0.127   
OH_Ag_211_fcc-t   0.585   2.985   2.98   0.89   2.26   9.667   3   -4.062   1.129   3.195   22.848   4.427   7.576   1.304   9.842   1.186   1.93   0.041   0.268   
OH_Ag@Cu_211_fcc-t-2   0.441   2.603   2.589   0.67   1.0   9.667   3   -2.452   1.126   1.956   14.94   4.719   7.726   1.236   9.739   1.269   1.9   0.106   0.23   
OH_AgPd_211_top-s-2   0.77   2.819   2.84   0.94   2.78   7.0   1   -1.231   1.261   0.847   10.695   5.21   8.337   0.562   9.47   0.726   2.2   0.486   0.186   
OH_PtRh_211_bridge3-s-1   0.524   2.786   2.762   1.015   3.61   8.5   2   -1.758   2.129   1.414   8.547   5.414   8.209   1.634   8.359   1.12   2.28   1.853   0.151   
OH_Ir_111_bridge   0.491   2.753   2.743   1.08   4.45   9.0   2   -1.91   2.546   0.575   4.095   5.74   9.121   1.564   7.688   1.301   2.2   1.218   0.135   
OH_AgPd_211_bridge2-s-2   0.442   2.902   2.866   0.915   2.52   7.0   2   -2.343   1.118   1.815   13.473   4.819   7.957   0.933   9.672   0.795   2.065   0.262   0.193   
OH_Ru_211_bridge3-s   -0.247   2.732   2.703   1.05   3.87   8.5   2   -1.252   2.065   0.41   3.639   4.889   7.361   1.046   7.115   0.878   2.2   1.552   0.196   
OH_Pt_211_bridge1-s   0.774   2.838   2.801   1.04   3.9   8.0   2   -1.966   1.975   0.815   5.664   5.75   8.959   2.125   8.792   1.149   2.28   1.753   0.153   
OH_Pd@Ir_211_bridge2-s-2   -0.467   2.753   2.692   1.08   4.45   7.0   2   -1.717   2.428   0.704   5.109   5.489   9.121   1.564   7.798   1.203   2.2   1.659   0.262   
OH_Pd@Ir_211_bridge1-t-1   0.646   2.753   2.735   1.08   4.45   9.5   2   -1.956   2.667   0.739   4.645   5.489   9.121   1.564   7.7   1.302   2.2   1.372   0.125   
OH_Ru_211_top-s   -0.384   2.732   2.683   1.05   3.87   7.0   1   -1.159   1.939   0.391   3.926   4.889   7.361   1.046   7.152   0.808   2.2   1.745   0.269   
OH_Pd@Ir_211_bridge2-t-1   0.351   2.753   2.725   1.08   4.45   9.0   2   -1.939   2.61   0.703   4.544   5.489   9.121   1.564   7.691   1.293   2.2   1.372   0.142   
OH_Pd_100_bridge   0.354   2.819   2.816   0.94   2.78   8.0   2   -1.528   1.308   0.818   6.653   5.279   8.337   0.562   9.316   0.721   2.2   1.883   0.135   
OH_Rh_211_top-t   0.46   2.734   2.707   0.99   3.32   9.0   1   -1.494   2.355   1.896   10.748   5.078   7.459   1.143   7.87   1.1   2.28   1.841   0.137   
OH_IrRu_211_bridge3-s-2   0.058   2.743   2.712   1.065   4.16   8.5   2   -1.583   2.36   0.646   4.781   5.189   8.241   1.305   7.342   1.073   2.2   1.538   0.192   
OH_IrRu_211_bridge1-s-1   0.019   2.743   2.695   1.065   4.16   8.0   2   -1.566   2.329   0.619   4.636   5.189   8.241   1.305   7.375   1.051   2.2   1.676   0.257   
OH_IrRu_211_top-s-2   -0.151   2.732   2.694   1.05   3.87   7.0   1   -1.203   2.137   0.362   4.595   4.889   7.361   1.046   7.066   0.87   2.2   2.026   0.254   
OH_Pt@Rh_211_bridge1-t-2   0.434   2.734   2.723   0.99   3.32   9.5   2   -1.485   2.422   1.96   11.12   5.078   7.459   1.143   7.849   1.128   2.28   1.842   0.122   
OH_Au_211_fcc-t   1.444   2.99   2.993   1.01   3.35   9.667   3   -3.283   1.455   1.473   9.308   5.28   9.226   2.309   9.715   1.303   2.54   0.098   0.22   
OH_Pt_110_shortbridge   0.324   2.838   2.775   1.04   3.9   7.0   2   -1.882   1.911   0.735   5.687   5.549   8.959   2.125   8.894   1.081   2.28   2.378   0.241   
OH_Ag@Cu_211_bridge1-s-1   0.401   2.794   2.668   0.78   1.63   8.0   2   -3.27   1.076   2.295   15.97   4.573   7.651   1.27   9.752   1.067   1.915   0.074   0.256   
OH_Pt@Rh_211_top-s-1   0.423   2.838   2.732   1.04   3.9   7.0   1   -2.041   1.812   1.091   5.992   5.75   8.959   2.125   8.785   1.007   2.28   1.109   0.211   
OH_Au@Ni_211_bridge1-t-3   0.218   2.502   2.486   0.71   1.16   9.5   2   -1.29   1.866   2.621   16.309   4.945   7.64   1.157   8.707   1.296   1.91   1.875   0.128   
OH_AgAu_211_hcp-s-2   0.717   2.987   2.951   0.93   2.623   7.667   3   -3.638   1.138   2.156   15.106   4.712   8.126   1.639   9.796   1.107   2.133   0.051   0.253   
OH_Au@Ni_211_bridge1-s-3   -0.014   2.502   2.469   0.71   1.16   8.0   2   -1.214   1.751   2.529   16.736   4.945   7.64   1.157   8.74   1.223   1.91   1.989   0.179   
OH_Pd@Ir_211_top-t-1   0.391   2.753   2.725   1.08   4.45   9.0   1   -1.939   2.61   0.703   4.544   5.489   9.121   1.564   7.691   1.293   2.2   1.372   0.142   
OH_Ni_211_hcp-t   0.275   2.502   2.489   0.71   1.16   9.333   3   -1.28   1.837   2.625   16.521   4.945   7.64   1.157   8.791   1.292   1.91   1.847   0.136   
OH_Pd@Ir_211_bridge1-t-3   0.726   2.753   2.731   1.08   4.45   9.5   2   -1.998   2.763   0.83   4.967   5.489   9.121   1.564   7.672   1.312   2.2   1.303   0.111   
OH_Ni_211_bridge1-t   0.3   2.502   2.493   0.71   1.16   9.5   2   -1.291   1.852   2.632   16.481   4.945   7.64   1.157   8.792   1.3   1.91   1.809   0.132   
OH_AgPd_211_top-t-2   1.339   2.985   2.894   0.89   2.26   9.0   1   -3.508   1.097   2.385   12.429   4.427   7.576   1.304   9.85   0.977   1.93   0.049   0.168   
OH_Pt@Rh_211_hcp-t-1   0.637   2.734   2.721   0.99   3.32   9.333   3   -1.474   2.398   1.9   10.861   5.078   7.459   1.143   7.86   1.134   2.28   1.85   0.129   
OH_Au@Ni_211_top-t-2   0.441   2.502   2.473   0.71   1.16   9.0   1   -1.281   1.83   2.584   16.216   4.945   7.64   1.157   8.704   1.273   1.91   1.907   0.143   
OH_AgAu_211_bridge1-s-2   0.791   2.985   2.965   0.89   2.26   8.0   2   -3.847   1.079   2.273   15.66   4.427   7.576   1.304   9.824   1.038   1.93   0.042   0.223   
OH_Cu_110_shortbridge   -0.208   2.603   2.562   0.67   1.0   7.0   2   -2.234   0.899   0.817   9.927   4.699   7.726   1.236   9.824   1.113   1.9   0.099   0.287   
OH_Ag@Cu_211_bridge2-t-1   0.158   2.603   2.603   0.67   1.0   9.0   2   -2.399   1.02   1.251   11.696   4.719   7.726   1.236   9.719   1.248   1.9   0.104   0.253   
