Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    
O_AgPd_211_fcc-s-1   2.077   2.929   2.884   0.907   2.433   8.333   3   -2.785   1.159   2.089   12.993   4.688   7.83   1.057   9.711   0.887   2.02   0.233   0.173   
O_Pt_211_hcp-t   1.97   2.838   2.831   1.04   3.9   9.333   3   -2.056   2.066   0.854   5.513   5.75   8.959   2.125   8.78   1.21   2.28   1.684   0.118   
O_Pt@Rh_211_hcp-t-2   0.729   2.734   2.716   0.99   3.32   9.333   3   -1.487   2.402   1.938   10.986   5.078   7.459   1.143   7.852   1.116   2.28   1.854   0.127   
O_Au@Ni_211_hcp-t-1   0.531   2.502   2.511   0.71   1.16   9.333   3   -1.235   1.826   2.533   16.381   4.945   7.64   1.157   8.689   1.283   1.91   1.907   0.137   
O_Au_100_hollow   2.553   2.99   2.987   1.01   3.35   8.0   4   -3.129   1.287   1.276   9.086   5.271   9.226   2.309   9.707   1.212   2.54   0.08   0.227   
O_PtRh_211_fcc-t-1   1.142   2.769   2.779   1.007   3.513   9.667   3   -1.69   2.284   1.52   9.002   5.302   7.959   1.47   8.177   1.208   2.28   2.017   0.114   
O_Ir_211_hcp-t   1.157   2.753   2.728   1.08   4.45   9.333   3   -2.013   2.697   0.721   4.475   5.489   9.121   1.564   7.69   1.316   2.2   1.287   0.114   
O_PtRh_211_fcc-t-2   1.614   2.803   2.785   1.023   3.707   9.667   3   -1.955   2.239   1.483   8.389   5.526   8.459   1.798   8.442   1.177   2.28   1.687   0.11   
O_Pd@Ir_211_hcp-s-2   0.668   2.753   2.697   1.08   4.45   7.667   3   -1.806   2.55   0.765   5.155   5.489   9.121   1.564   7.751   1.234   2.2   1.542   0.215   
O_IrRu_211_hcp-s-2   -0.023   2.739   2.695   1.06   4.063   7.667   3   -1.445   2.265   0.533   4.622   5.089   7.948   1.219   7.272   0.991   2.2   1.793   0.256   
O_Au_211_bridge2-s   2.492   2.99   2.936   1.01   3.35   7.0   2   -3.127   1.323   1.431   10.044   5.28   9.226   2.309   9.732   1.2   2.54   0.079   0.26   
O_Pd@Ir_211_fcc-s-2   0.655   2.753   2.708   1.08   4.45   8.333   3   -1.881   2.611   0.765   4.967   5.489   9.121   1.564   7.715   1.264   2.2   1.446   0.175   
O_PtRh_211_fcc-s-1   1.255   2.803   2.758   1.023   3.707   8.333   3   -1.871   2.11   1.38   8.176   5.526   8.459   1.798   8.491   1.122   2.28   1.804   0.159   
O_Ni_211_fcc-s   0.155   2.502   2.476   0.71   1.16   8.333   3   -1.236   1.755   2.642   17.151   4.945   7.64   1.157   8.821   1.231   1.91   1.903   0.169   
O_Cu_110_shortbridge   1.154   2.603   2.562   0.67   1.0   7.0   2   -2.234   0.899   0.817   9.927   4.699   7.726   1.236   9.824   1.113   1.9   0.099   0.287   
O_Pt@Rh_211_bridge2-s-2   0.311   2.734   2.696   0.99   3.32   7.0   2   -1.293   2.108   1.809   11.161   5.078   7.459   1.143   7.953   1.01   2.28   2.157   0.231   
O_Pd@Ir_211_hcp-s-1   0.648   2.775   2.736   1.033   3.893   7.667   3   -1.923   2.212   0.653   5.202   5.396   8.86   1.23   8.232   1.109   2.2   1.243   0.192   
O_Ru_110_shortbridge   -0.248   2.732   2.671   1.05   3.87   7.0   2   -1.255   1.952   0.34   3.493   4.764   7.361   1.046   7.115   0.827   2.2   1.781   0.204   
O_Au@Ni_211_fcc-t-1   0.61   2.502   2.508   0.71   1.16   9.667   3   -1.261   1.864   2.577   16.318   4.945   7.64   1.157   8.691   1.303   1.91   1.856   0.126   
O_Ag@Cu_211_fcc-t-1   1.019   2.603   2.6   0.67   1.0   9.667   3   -2.453   1.099   1.692   13.649   4.719   7.726   1.236   9.733   1.285   1.9   0.104   0.235   
O_Cu_211_bridge2-s   1.112   2.603   2.556   0.67   1.0   7.0   2   -2.282   0.955   1.452   13.621   4.719   7.726   1.236   9.722   1.129   1.9   0.09   0.264   
O_PtRh_211_bridge2-s-1   0.735   2.786   2.739   1.015   3.61   7.0   2   -1.617   1.974   1.3   8.401   5.414   8.209   1.634   8.421   1.065   2.28   1.865   0.212   
O_Pd@Ir_211_hcp-t-1   0.984   2.753   2.732   1.08   4.45   9.333   3   -1.95   2.648   0.727   4.612   5.489   9.121   1.564   7.697   1.299   2.2   1.372   0.13   
O_Au@Ni_211_bridge2-s-2   0.289   2.502   2.465   0.71   1.16   7.0   2   -1.149   1.674   2.475   17.257   4.945   7.64   1.157   8.768   1.173   1.91   2.065   0.214   
O_AgPd_211_bridge2-s-1   2.105   2.902   2.866   0.915   2.52   7.0   2   -2.343   1.118   1.815   13.473   4.819   7.957   0.933   9.672   0.795   2.065   0.262   0.193   
O_Pt@Rh_211_fcc-s-1   0.935   2.769   2.72   1.007   3.513   8.333   3   -1.66   2.171   1.592   9.071   5.302   7.959   1.47   8.173   1.081   2.28   1.629   0.163   
O_Rh_211_bridge2-s   0.265   2.734   2.694   0.99   3.32   7.0   2   -1.293   2.099   1.886   11.48   5.078   7.459   1.143   7.969   0.987   2.28   2.07   0.24   
O_AgAu_211_fcc-s-1   2.263   2.987   2.965   0.93   2.623   8.333   3   -3.679   1.18   2.18   14.835   4.712   8.126   1.639   9.786   1.136   2.133   0.056   0.239   
O_AgAu_211_hcp-t-2   2.567   2.987   2.976   0.93   2.623   9.333   3   -3.715   1.246   2.233   14.706   4.712   8.126   1.639   9.768   1.187   2.133   0.06   0.233   
