Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    
O_Pt@Rh_211_hcp-s-1   0.756   2.769   2.714   1.007   3.513   7.667   3   -1.601   2.09   1.581   9.254   5.302   7.959   1.47   8.201   1.045   2.28   1.719   0.194   
O_Cu_111_fcc   0.974   2.603   2.596   0.67   1.0   9.0   3   -2.446   0.95   0.826   8.438   4.992   7.726   1.236   9.832   1.244   1.9   0.106   0.275   
O_Rh_100_hollow   0.471   2.734   2.71   0.99   3.32   8.0   4   -1.413   2.025   1.234   7.427   5.266   7.459   1.143   7.942   1.054   2.28   1.838   0.184   
O_AgAu_211_bridge2-s-1   2.4   2.988   2.941   0.95   2.805   7.0   2   -3.514   1.131   2.084   14.99   4.854   8.401   1.807   9.79   1.114   2.235   0.053   0.268   
O_AgPd_211_hcp-s-1   2.023   2.929   2.875   0.907   2.433   7.667   3   -2.732   1.111   2.005   13.125   4.688   7.83   1.057   9.731   0.856   2.02   0.191   0.184   
O_Cu_211_hcp-s   0.739   2.603   2.564   0.67   1.0   7.667   3   -2.319   1.009   1.693   14.788   4.719   7.726   1.236   9.708   1.166   1.9   0.095   0.256   
O_Pt@Rh_211_hcp-t-1   0.761   2.734   2.721   0.99   3.32   9.333   3   -1.474   2.398   1.9   10.861   5.078   7.459   1.143   7.86   1.134   2.28   1.85   0.129   
O_Pd_211_fcc-t   1.5   2.819   2.82   0.94   2.78   9.667   3   -1.715   1.405   0.682   4.968   5.21   8.337   0.562   9.265   0.804   2.2   2.178   0.115   
O_Ag_110_shortbridge   2.316   2.985   2.95   0.89   2.26   7.0   2   -3.981   0.882   2.264   17.492   4.398   7.576   1.304   9.901   1.034   1.93   0.035   0.327   
O_Pd_211_bridge2-s   1.438   2.819   2.79   0.94   2.78   7.0   2   -1.5   1.244   0.602   5.726   5.21   8.337   0.562   9.334   0.682   2.2   2.15   0.15   
O_Ru_211_hcp-t   -0.041   2.732   2.706   1.05   3.87   9.333   3   -1.359   2.154   0.396   3.257   4.889   7.361   1.046   7.068   0.917   2.2   1.328   0.137   
O_Pd@Ir_211_fcc-t-2   1.17   2.753   2.738   1.08   4.45   9.667   3   -2.002   2.753   0.81   4.873   5.489   9.121   1.564   7.677   1.317   2.2   1.302   0.108   
O_Ru_211_hcp-s   -0.298   2.732   2.687   1.05   3.87   7.667   3   -1.227   2.004   0.387   3.686   4.889   7.361   1.046   7.123   0.84   2.2   1.601   0.227   
O_Rh_211_fcc-t   0.772   2.734   2.725   0.99   3.32   9.667   3   -1.496   2.419   1.95   10.919   5.078   7.459   1.143   7.858   1.13   2.28   1.796   0.116   
O_IrRu_211_hcp-s-1   0.168   2.746   2.694   1.07   4.257   7.667   3   -1.614   2.327   0.712   4.987   5.289   8.534   1.391   7.472   1.087   2.2   1.643   0.272   
O_Cu_211_fcc-t   1.009   2.603   2.593   0.67   1.0   9.667   3   -2.439   1.127   2.038   15.569   4.719   7.726   1.236   9.697   1.272   1.9   0.104   0.229   
O_Au_111_fcc   2.415   2.99   2.996   1.01   3.35   9.0   3   -3.319   1.336   1.289   8.485   5.321   9.226   2.309   9.741   1.304   2.54   0.113   0.293   
O_IrRu_211_fcc-t-2   0.602   2.739   2.725   1.06   4.063   9.667   3   -1.608   2.455   0.587   4.345   5.089   7.948   1.219   7.23   1.081   2.2   1.432   0.119   
O_AgPd_211_fcc-t-2   1.801   2.874   2.884   0.923   2.607   9.667   3   -2.113   1.335   1.514   10.671   4.949   8.083   0.809   9.549   0.9   2.11   0.397   0.153   
O_Au_211_fcc-t   2.664   2.99   2.993   1.01   3.35   9.667   3   -3.283   1.455   1.473   9.308   5.28   9.226   2.309   9.715   1.303   2.54   0.098   0.22   
O_IrRu_211_bridge2-s-2   -0.147   2.743   2.689   1.065   4.16   7.0   2   -1.446   2.214   0.595   4.915   5.189   8.241   1.305   7.398   1.005   2.2   1.807   0.322   
O_Ag_211_hcp-s   1.94   2.985   2.955   0.89   2.26   7.667   3   -4.016   0.996   3.021   23.078   4.427   7.576   1.304   9.853   1.084   1.93   0.034   0.287   
O_Pd_110_shortbridge   1.559   2.819   2.784   0.94   2.78   7.0   2   -1.499   1.253   0.507   5.241   5.008   8.337   0.562   9.42   0.678   2.2   2.368   0.103   
