id stretch Al91Zn5.2Mg2.3Cu1.5 Mg SiCp CNTs pre_temp pre_power sol_time eff_time
26 3.0 84 1 15.0 0.0 550 300 40 15
29 3.3 85 0 15.0 0.0 550 300 40 18
30 2.4 84 1 15.0 0.0 550 300 40 18
12 11.06 100 0 0.0 0.0 550 300 40 12
18 4.14 85 0 15.0 0.0 550 300 50 12
6 5.21 85 0 14.5 0.5 550 350 60 24
8 7.66 100 0 0.0 0.0 550 300 60 24
4 6.72 85 0 14.5 0.5 600 300 50 24
23 8.7 100 0 0.0 0.0 550 300 40 15
10 13.21 100 0 0.0 0.0 550 300 50 24
7 5.58 85 0 14.5 0.5 550 400 60 24
31 4.8 85 0 14.5 0.5 550 300 40 18
13 4.86 85 0 15.0 0.0 550 300 40 12
32 2.9 84 1 14.5 0.5 550 300 40 18
14 1.9 84 1 15.0 0.0 550 300 40 12
5 5.23 85 0 14.5 0.5 550 300 60 24
17 7.75 100 0 0.0 0.0 550 300 50 12
22 2.9 85 0 14.5 0.5 550 300 40 9
15 4.59 85 0 14.5 0.5 550 300 40 12
19 3.2 85 0 14.5 0.5 550 300 50 12
27 5.3 85 0 14.5 0.5 550 300 40 15
9 6.24 85 0 15.0 0.0 550 300 60 24
16 2.3 84 1 14.5 0.5 550 300 40 12
1 6.67 85 0 14.5 0.5 525 300 50 24
25 4.8 85 0 15.0 0.0 550 300 40 15
