id area thermal voltage current power thickness powder
74 3.302424 161 68 650 44.2 300 25
49 11.90564 239 66 550 36.3 300 25
83 9.258756 439 68 650 44.2 300 25
96 9.6223 110 67 600 40.2 430 30
24 7.25665 311 67 600 40.2 200 25
40 11.5125 381 68 650 44.2 200 25
84 9.648355286 471 68 650 44.2 300 25
33 6.957238 170 68 650 44.2 200 25
3 0.2 95 66 550 36.3 200 25
37 9.591423 290 68 650 44.2 200 25
41 11.5125 418 68 650 44.2 200 25
42 1.114849 26 66 550 36.3 300 25
102 4.13859 40 68 650 44.2 430 30
101 3.665062 30 68 650 44.2 430 30
4 0.3 126 66 550 36.3 200 25
68 7.747673 433 67 600 40.2 300 25
7 1.9 215 66 550 36.3 200 25
97 11.65921 157 67 600 40.2 430 30
78 5.528875 281 68 650 44.2 300 25
94 6.507205 40 67 600 40.2 430 30
87 5.885192 30 66 550 36.3 430 25
109 23.71732 298 68 650 44.2 430 30
