id area thermal voltage current power thickness powder
12 2.4 373 66 550 36.3 200 25
71 0.154525 70 68 650 44.2 300 25
103 6.683728 72 68 650 44.2 430 30
17 3.431617 95 67 600 40.2 200 25
77 3.954768 256 68 650 44.2 300 25
76 3.76482 224 68 650 44.2 300 25
16 2.100736 63 67 600 40.2 200 25
57 0.0 54 67 600 40.2 300 25
58 0.265813 86 67 600 40.2 300 25
99 12.83653 240 67 600 40.2 430 30
11 2.2 341 66 550 36.3 200 25
15 1.196858 35 67 600 40.2 200 25
86 11.80031688 603 68 650 44.2 300 25
90 11.80789 73 66 550 36.3 430 25
66 7.549614 332 67 600 40.2 300 25
46 11.07955 149 66 550 36.3 300 25
50 11.90564 265 66 550 36.3 300 25
18 3.679092 126 67 600 40.2 200 25
22 6.224217 248 67 600 40.2 200 25
75 3.722649 193 68 650 44.2 300 25
63 6.45974 239 67 600 40.2 300 25
93 4.753014 30 67 600 40.2 430 30
43 2.742809 54 66 550 36.3 300 25
95 7.502548 72 67 600 40.2 430 30
48 11.13813 206 66 550 36.3 300 25
62 4.648291 206 67 600 40.2 300 25
53 11.88796 364 66 550 36.3 300 25
14 8.7 505 66 550 36.3 200 25
51 11.90564 302 66 550 36.3 300 25
106 10.15011 200 68 650 44.2 430 30
19 4.18277 158 67 600 40.2 200 25
27 10.61367 442 67 600 40.2 200 25
1 0.0 35 66 550 36.3 200 25
65 7.549614 302 67 600 40.2 300 25
108 18.65293 270 68 650 44.2 430 30
56 0.0 26 67 600 40.2 300 25
79 9.173032 313 68 650 44.2 300 25
34 7.261417 202 68 650 44.2 200 25
92 21.38 157 66 550 36.3 430 25
26 9.493958 373 67 600 40.2 200 25
107 14.97566 240 68 650 44.2 430 30
67 7.736828 364 67 600 40.2 300 25
31 5.752693 110 68 650 44.2 200 25
30 3.4 70 68 650 44.2 200 25
73 3.168192 133 68 650 44.2 300 25
61 3.343465 174 67 600 40.2 300 25
29 1.762963 45 68 650 44.2 200 25
23 7.145404 274 67 600 40.2 200 25
72 0.269372 110 68 650 44.2 300 25
25 7.752505 341 67 600 40.2 200 25
36 9.312332 265 68 650 44.2 200 25
8 2.0 248 66 550 36.3 200 25
81 9.232152 372 68 650 44.2 300 25
20 5.083531 183 67 600 40.2 200 25
38 11.09386 322 68 650 44.2 200 25
5 0.9 158 66 550 36.3 200 25
70 0.042259 36 68 650 44.2 300 25
104 7.135727 110 68 650 44.2 430 30
59 1.730674 117 67 600 40.2 300 25
6 1.2 183 66 550 36.3 200 25
88 7.321174 40 66 550 36.3 430 25
44 4.46931 86 66 550 36.3 300 25
55 13.8435 496 66 550 36.3 300 25
91 12.10014 120 66 550 36.3 430 25
52 11.90564 332 66 550 36.3 300 25
47 11.07955 174 66 550 36.3 300 25
85 11.7275995 540 68 650 44.2 300 25
35 9.177408 233 68 650 44.2 200 25
80 9.232152 346 68 650 44.2 300 25
21 5.583779 215 67 600 40.2 200 25
69 7.781919 496 67 600 40.2 300 25
82 9.232152 409 68 650 44.2 300 25
89 9.811607 48 66 550 36.3 430 25
28 10.91453 505 67 600 40.2 200 25
2 0.0 63 66 550 36.3 200 25
9 2.0 274 66 550 36.3 200 25
39 11.30202 355 68 650 44.2 200 25
54 12.62398 433 66 550 36.3 300 25
98 12.41296 200 67 600 40.2 430 30
105 9.585816 157 68 650 44.2 430 30
60 2.749431 149 67 600 40.2 300 25
13 6.9 442 66 550 36.3 200 25
100 23.89033 253 67 600 40.2 430 30
10 2.0 311 66 550 36.3 200 25
45 8.524049 117 66 550 36.3 300 25
64 7.535345 265 67 600 40.2 300 25
32 6.937226 142 68 650 44.2 200 25
