id hardness Al91Zn5.2Mg2.3Cu1.5 Mg SiCp CNTs sol_temp sol_time
1 180.19 85 0 14.0 1.0 470 60
2 189.11 85 0 14.5 0.5 470 50
3 176.62 100 0 0.0 0.0 470 30
4 176.95 100 0 0.0 0.0 470 40
5 170.55 85 0 14.0 1.0 460 50
6 197.17 85 0 15.0 0.0 470 50
7 185.83 85 0 14.5 0.5 460 50
8 183.5 85 0 14.0 1.0 470 50
9 200.17 85 0 15.0 0.0 470 30
10 165.52 85 0 14.5 0.5 475 60
11 180.93 85 0 14.0 1.0 470 40
12 190.99 85 0 15.0 0.0 470 60
13 176.8 100 0 0.0 0.0 460 50
14 173.62 100 0 0.0 0.0 475 60
15 186.03 85 0 14.0 1.0 470 30
16 163.93 85 0 15.0 0.0 475 60
17 178.02 85 0 14.0 1.0 465 50
18 197.23 85 0 15.0 0.0 465 50
19 182.57 85 0 14.5 0.5 465 50
20 201.21 85 0 15.0 0.0 470 40
21 191.13 85 0 14.5 0.5 470 40
