id yield_strength Al91Zn5.2Mg2.3Cu1.5 Mg SiCp CNTs power_temp power sol_time eff_time
11 521.23 85 0 15.0 0.0 550 300 40 12
1 379.42 85 0 14.5 0.5 525 300 50 24
10 530.92 100 0 0.0 0.0 550 300 40 12
19 499.5 85 0 15.0 0.0 550 300 40 9
2 368.31 85 0 14.5 0.5 550 300 50 24
12 606.4 84 1 15.0 0.0 550 300 40 12
24 508.6 85 0 15.0 0.0 550 300 40 15
8 551.37 100 0 0.0 0.0 550 300 60 24
4 358.49 85 0 14.5 0.5 600 300 50 24
13 507.56 85 0 14.5 0.5 550 300 40 12
23 569.3 99 1 0.0 0.0 550 300 40 15
22 525.7 100 0 0.0 0.0 550 300 40 15
21 585.3 84 1 14.5 0.5 550 300 40 9
25 584.8 84 1 15.0 0.0 550 300 40 15
18 508.9 100 0 0.0 0.0 550 300 40 9
9 381.14 85 0 15.0 0.0 550 300 60 24
5 394.42 85 0 14.5 0.5 550 300 60 24
6 387.1 85 0 14.5 0.5 550 350 60 24
20 486.1 85 0 14.5 0.5 550 300 40 9
32 586.5 84 1 14.5 0.5 550 300 40 18
27 588.4 84 1 14.5 0.5 550 300 40 15
14 603.6 84 1 14.5 0.5 550 300 40 12
31 502.4 85 0 14.5 0.5 550 300 40 18
28 534.4 100 0 0.0 0.0 550 300 40 18
15 523.6 100 0 0.0 0.0 550 300 50 12
